Article_ID,WMS_Quantity,Calculated_Quantity,AMG_Destination,Difference
14886820,10,12,"MCP CORE I5-10400 2,90GHZ    LGA1200/12MB CACHE           ",2
66319014,2480,-12,VITE TRUCIOLARE TPS+ 4X30 ZN                              ,-2492
RFI36030,2,1,WALL MOUNTING BRACKET PP/MRT ASTRAN0795                   ,-1
0SW948MI,50,30,LICENZA COA WINDOWS 11 PRO.  64 BIT ITA                   ,-20
45503137,2,1,SSD M.2 512GB PCIE 2280 INTEL600P SERIES NVME TLC         ,-1
0AC610FI,10,9,XPOLE-DAA DUAL SCREEN + DUAL ARM PER XPOS 240MM           ,-1
91208321,17,16,WIRELESS LAN MINIPCI-E AC7260 802.11AC X WT5-MRT-190      ,-1
RFI13444,2,6,M/B FALS H610 X PP974X       RH9000MB1522                 ,4
RFI13428,1,0,M.B. MMH81AP-FH              RH9000MB1190/1191            ,-1
RFI29908,8,27,POWER SUPPLY 150W FSP150-AHA RD9000PH01D3 PP96XX          ,19
0AC559FI,52,51,KIT MSR FOR A121TA BLACK     (USB) RE9000EM0465           ,-1
0AC730FI,40,38,P-USB24V TO DIN PRINTER CABLE                             ,-2
0P9AC0GL,7,6,"TABLET RUGGED AT-2055 10,1""  IPS 128GB N4120 WIFI 2D HAND ",-1
17301840,148,119,SODIMM DDR4 8GB 3200MHZ 1RX161GX16 CL22 1.2V TRANSCEND    ,-29
0AC101GL,2,1,"VEHICLE MOUNTING STATION PER TABLET AT-2055 10,1""IPS N4120",-1
40800388,114,117,ALIMENTATORE 60W 12V 180°    FSP060-DHAN3 FORTRON         ,3
51702278,259,261,PANNELLO POST MCCO. GDT 77XX 2 COM/1 LAN                  ,2
0AC719FI,108,107,"SCANNER HOLDER X 15,6"" + 22"" N3680/N4680 XELF             ",-1
0AC101ES,7444,7383,CLIP COLLARINO CAVI 4.6X10X20X1.4DIAM6.35                 ,-61
0AC717FI,45,44,PRINTER DOOR FP-81 FOR XELF                               ,-1
0PF3TY02,44,43,NUC RUGGED CHASSIS/DUAL LAN  BOARD INTEL CMCR1ABB         ,-1
0SW815MI,189,160,LICENSE WIN.10 IOT 2021 LTSC ENTRY EPKEA ESD              ,-29
0SW947MI,225,227,LIC. WINDOWS 11 IOT ENT VALUEAC                           ,2
22303000,805,809,FERRITE PER CAVO TONDO D=6/7 RICHIUDIBILE                 ,4
25042010,52,54,ANTENNA ESTERNA SMA (M) AC/A/B/G/N 2 DBI L=112MM          ,2
61920001,8294,8274,RONDELLE PIANE 6592 8 ZN                                  ,-20
45503174,46,45,"SSD M.2 512 GB 2280 NVME     TRANSCEND  TS512GMTE220S	
   ",-1
45503131,6,5,SSD M.2 128GB 2242 AOPEN                                  ,-1
14886910,6,5,"MCP CELERON G5905 3,50GHZ    LGA1200/4MB CACHE            ",-1
0P9A01DF,1,2,"PANEL-PC RT210 10,1"" TOUCH CAP/IMX6-DL/2GBRAM/4GBeMMC/WLAN",1
0SK12205,1,0,KIT WALL MOUNTING BRACKET    VESA 100/75                  ,-1
CCOMP334,1,0,"WT FANLESS 23,8"" W/O M/B     TOT BLACK HB24Z52A001C       ",-1
0P9DUDFI,2,0,"PP8632  22""/T J1900/4GBRAM                                ",-2
40141458,141,70,"CAVO ALIM. 220VAC CEE7-VII   (SCHUKO) to IEC 320/C5 1,8m  ",-71
53042324,1180,4054,ETICHETTA FRONTALE LOGO FEC  ITALIA                       ,2874
17301341,11,8,SODIMM DDR3L 4GB 1600MHZ FEC                              ,-3
RKM35905,9,6,BLOWER (CPU FAN) HB-A2C2     FCF80B04001C                 ,-3
0AC593FI,3,4,KIT 2ND SSD M.2 PER XPOS     ASXPOS0085                   ,1
17301722,21,13,SODIMM DDR4 8GB IY INDUSTRIALPANEL PC                     ,-8
0AC512SU,9,8,FODERO CON CINTURA X PALMARE PIÙ PISTOLA L2-L2K           ,-1
40800354,145,144,ALIM. 120W 19V FSP120-ABBN3                               ,-1
51702268,176,177,PANNELLO FRONT.USB ON/OFF    GDT 7XX/9XX  BLACK R00       ,1
45503164,791,768,SSD M.2 128GB NVME 2280 FEC  PHISON                       ,-23
45503175,211,209,SSD M.2 120GB SATA 2280      TRANSCEND                    ,-2
0AC721FI,8,7,MODULO BARCODE SCANNER 2D    N4680 PER XELF               ,-1
0AC575FI,1,3,PRINTER STAND FOR PP96XX/91XXFOR TP-100                   ,2
54476265,1685,1711,SCATOLA CARTONE IMBALLO      GDT 7XX/9XX                  ,26
54476273,297,281,SCATOLA CARTONE IMBALLO      GENERICO PICCOLO             ,-16
0P9ETIFI,1,0,"PP-9715 15""/T CEL G4900T/4GB BLACK/SILVER                 ",-1
91062260,1,3,M.B. FH-RK3568 2.0GHZ 4G/64G RH9000MB1550                 ,2
17301851,52,37,SODIMM DDR3L 8GB 1600MHZ     FEC                          ,-15
0AC901MM,3,2,DOCKING STATION DA TAVOLO PERTABLET AT2050                ,-1
0MN863FI,52,51,"MONITOR 22"" PANOTEC LD-9022W TOUCH P-CAP FEC (GALAXY GREY)",-1
94900334,51,50,"MONITOR 12,1"" A121TA BLACK   W/O BASE (ALIM.POWER USB12V) ",-1
0AC110IN,17,10,CASSETTO INTERNO CON         SERRATURA 50X28              ,-7
0AC810AE,34,33,RIPIANO TASTIERA E MOUSE PER TOTEM GEN 1 NERO R00         ,-1
42001227,460,653,CABINET MCCO M-ITX BASE W/O  CEST. GDT 7XX-9XX VESA100 MCM,193
54476129,482,491,SCATOLA CARTONE IMB. TANK    DS-01W CHIEFTEC              ,9
54642006,5399,5251,SACCHETTO LD TRASPARENTE     40X50/06 PER GDTXX           ,-148
94902011,6,25,STANDBASE WHITE VESA(75/100) WITOUCH/PP/MRT & MON. TOUCH  ,19
51742041,32,33,LASTRA POSTERIORE EMC        (ESAOTE) TANK Q270/370 REV.II,1
0SW946MI,62,61,LICENZA WINDOWS 11 PRO. 64   BIT ITA                      ,-1
0AC103AU,53,52,DVD 300081500  PER GPU RTX   3050 TANK Q670/370 ESAOTE    ,-1
REC29901,112,95,BATTERIA CMOS CR2032 CON CAVO                             ,-17
91208420,16,17,DUAL BAND WIRELESS 9560 AC 2X2 AC+BT M.2 INTEL            ,1
66319008,2198,2190,VITE TESTA BOMB.CE ACC.10.9  6X20 ZN                      ,-8
45503168,32,31,SSD M.2 1TB 2280 NVME WD                                  ,-1
14887020,208,209,"MCP CORE I5-12400 2,50 GHZ   FCLGA1700/18MB CACHE         ",1
0P9EHBFI,2,0,"XPOS XP-3685 15""/T/CEL.3965U/4GB SILVER                   ",-2
RA9000XC-4586,3,2,SMART IO-TO-PUSB12V CABLE 1M                              ,-1
RAO13504,1,2,M.B. IBTMT-W PER AIO WT19M-FB - 48.WT305.01A0             ,1
RFI90001,1,0,LI-ION BATTERY 7200MA 3.7V   TABLET AT-1450 CVATR0000000  ,-1
0AC901FI,375,285,CHIAVE DALLAS I-BUTTON       9000MM0080                   ,-90
0AC923FI,3,5,SCANNER USB 2D XPPC STAND    PP-97XXX GALAXY GREY         ,2
40141042,54,42,F.C. DATI HD SATA CONN DRITTOL=20CM W/CLIP LATCH          ,-12
45503154,120,113,SSD M.2 256GB 2280 NVME      TRANSCEND                    ,-7
0MN851ZH,1,3,"9,7"" HDMI DISPLAY WITH       STAND AND POWER ADAPTER      ",2
23330043,1634,1627,PUSH BUTTON PER GDT-XXXX 12MMINDENT- IB12C-P10F-*B3V/A    ,-7
14887021,170,163,"MCP CORE I5-12400 2,50 GHZ   FCLGA1700/18MB CACHE FEC     ",-7
17301850,47,64,SODIMM DDR3L 8GB 1600MHZ 2RX8512MX8 CL11 1.35V TRANSCEND  ,17
54643031,442,622,"CUFFIA GDT 7XX/9XX IN FOAM   285X190X40+33,5MM            ",180
XM3010W-00100,20,0,"XM3010W-DD-VESA/NOTOUCH/10,1""/DD-CABLE/CABLE 80CM/GREY    ",-20
45503181,33,34,SSD M.2 256GB 2280 NVME FEC                               ,1
0AC710FI,63,64,VASSOIO LATERALE PER XELF                                 ,1
0P9919KM,150,144,"WT CORE 7E 21,5"" TOT BLACK   PCAP EMI W/PSU 120W          ",-6
0AC715FI,20,21,XELF PINPAD HOLDER LANE 5000 PER XELF                     ,1
RKM12101,8,4,GUSCIO INTERNO SX HB-2009X   3BH20XEX101KME05R0           ,-4
53042292,208,168,"ETICHETTA FRONTALE ""ESAOTE""  85x35                        ",-40
0AC49100,122,124,CAVO USB INTERNO 25CM                                     ,2
66319016,780,628,TASSELLI M6                                               ,-152
0TA92500,1,0,WIRELESS TASTIERA+MOUSE WHITEITA CK380G+CM892G            ,-1
0AC407FI,164,148,WIFI ANTENNA+MINI CONNECTOR  CABLE RD9000PH18AD           ,-16
RA9000XC4289B,3,4,TYPE C CABLE_90 DEGREE XPOS  BOARD-SKU                    ,1
RFI22006,20,24,USB CABLE 6P-6P FOR SIDE MSR EXT. BOARD RA9000XC4115/B    ,4
0AC720FI,3,2,"LED STATUS BAR W/CAMERA 15,6""PER XELF                     ",-1
0AC926FI,38,33,POWERED USB 24V PORT PP97XX/WASXPOS5550                   ,-5
40141490,4,3,CAVO INTERNO USB 2.0 L=30CM  PER GDT-7700J                ,-1
0AC50811,67,65,WALL MOUNT SCANNER HOLDER    ERGOTRON                     ,-2
0AC503SU,17,18,BARCODE SCANNER 1D/2D BRANDEGGIO NS021                    ,1
0AC510SU,16,18,SUPPORTO DA TAVOLO PER       BARCODE SCANNER NS021        ,2
0AC521SU,19,18,"PALMARE RUGGED L2KS 4,0"" IP682G+16G WIFI SCANNER ANDR. 11 ",-1
91061400,30,28,M.B. GLKD-I-J4005 MINI ITX   ECS                          ,-2
51702264,148,149,PANNELLO POST 2COM-1USB      GDT 7XX/9XX                  ,1
51702275,69,70,PANNELLO FRONT. EURO 2021    GDT 7XX/9XX - R00            ,1
14886771,13,12,"MCP CORE I5-9500TE 2,2GHZ    LGA1151/9MB CACHE (FIRICH)   ",-1
0P9GABFI,2,102,"PP-9735W/T/15,6"" CEL J6412   /8GB/GALAXY GREY             ",100
0AC705FI,33,29,MECCANICA PER FP-81 / TP-100 PER XELF ASKISK3105          ,-4
0P9EF6FI,139,142,"PP-9732W 21,5""/T/CEL J6412   GALAXY GREY                  ",3
91061710,204,87,M.B. ECS H610H7-TI5 MINI-ITX LGA1700                      ,-117
0AC618MI,16,8,READY MOUSE USB              BIANCO/GRIGIO Microsoft      ,-8
40141465,95,89,CAVO ALIM. 250VAC (SPINA UK)                              ,-6
0MN861FI,18,15,"MONITOR 32"" TOUCH LD-9032W   P-CAP FEC (GALAXY GREY)      ",-3
0P9EQ4FI,1,0,"XP3765W 15,6""/CORE I5-12400/ /IO1-24V GALAXY GREY         ",-1
52512001,4,2,DISSIPATORE CON VENTOLA X LGA1155/LAG1156 73W             ,-2
45503165,15,16,SSD MSATA 256GB IY INDUSTRIALPANEL PC                     ,1
91208422,206,253,DUAL BAND WIRELESS 9560 AC 2X2 AC+BT M.2 INTEL            ,47
0P9GA1FI,141,53,"PP-9735W/T/15,6"" CEL J6412   GALAXY GREY                  ",-88
17301701,45,36,"SODIMM DDR4 4GB PC4-2666MHZ  NOPARITY 1,2V 16BIT FEC      ",-9
0MN855FI,7,6,"MONITOR 17""/TOUCH P-CAP      AM-1017 FEC (BLACK)          ",-1
RFI13432,5,4,M.B. FH-Z8300-T 4G/64G PER   TABLET AT-1450 RH9000MB1239  ,-1
0AC100NE,2,1,BARCODE SCANNER 2D FM80      SALOMON                      ,-1
40141481,64,63,"CAVO HDMI/DVI-D 24+1P MM 1,8M ICOC HDMI-D-018             ",-1
0AC40018,126,125,CAVO PORTA SERIALE DB9 INTER-NO PER GDT9700               ,-1
0SW821MI,131,105,LICENSE WIN.11 IOT 2024 LTSC ENTRY EPKEA ESD              ,-26
91061720,9,10,M.B. ASUS H610I-IM-A MINI-ITXLGA1700                      ,1
91061800,527,523,M.B. GLKD-I-J4025 MINI ITX   ECS                          ,-4
17301721,664,550,"SODIMM DDR4 8GB PC4-2666MHZ  NOPARITY 1,2V 8BIT FEC       ",-114
52536111,19,16,DISSIP.+VENTOLA PROC. INTEL  CORE I7 SOCK.LGA1150-1200    ,-3
52536139,861,947,DISSIP.+ VENTOLA SOCKET      LGA115X/1200 E97379          ,86
0AC100IN,6,7,CASSETTO PORTA DENARO 50X28  NERO                         ,1
0AC803AE,37,36,RIPIANO STP ET TOTEM GEN 1   VERNICIATO NERO RAL 9005     ,-1
54643032,22,21,CUFFIA DX SELF CHECK-OUT FOAM480X230X30+103MM             ,-1
0AC513PP,4,1,PINPAD HOLDER UNIVERSAL BLACKSCO                          ,-3
0AC714FI,20,21,MECCANICA EFT POS LANE 5000  BASE PER XELF                ,1
0AC706FI,31,30,MECCANICA EFT POS L3000/P400 BASE PER XELF                ,-1
54476158,21,39,SCATOLA CARTONE IMB. ESTERNO GENERICO                     ,18
52536140,108,116,DISSIP. + VENTOLA LGA 1700   CORE                         ,8
58742024,24,14,TAPPO CONNETTORE RJ45 COLORE NERO                         ,-10
0ST900EP,24,18,STAMPANTE FISCALE FP-81II-RT ETH. EPSON BLACK             ,-6
25042012,47,46,ANTENNA ESTERNA SMA (F) AC/A/B/G/N 2 DBI L=112MM          ,-1
61820003,1784,1756,DADO ESAG. 6/S 5588 4 ZN                                  ,-28
14887070,44,43,"MCP CELERON G6900 3,40 GHZ   LGA1700/4M CACHE TRAY        ",-1
45503111,2,1,"SSD 2,5"" 128GB/ X600S SATA3  3D TLC SANDISK               ",-1
RFI13427,7,2,M.B. 2G J1900 (FOR PP-9635)  RH9000MB1145                 ,-5
RFI19916,9,8,"AUO LCD PANEL 15"" 1024X768 LED PP96XX SVPPLG5000B0        ",-1
RFI29916,29,31,POWER SUPPLY 90W 20V/4.5A    PER XPOS - RD9000PH01DR      ,2
0AC954FI,27,28,"DISPLAY XPOS PLUS 10,1"" XM-  3010W-DP/TOUCH/GALXY GREY    ",1
0AC955FI,4,3,"DISPLAY XPOS PLUS 10,1"" XM-  3010W-DP/NO TOUCH/GALXY GREY ",-1
0TA410LG,160,163,TASTIERA USB ITA NERA K120   LOGITECH                     ,3
40141493,58,59,CAVO USB 2.0 L=8CM           PER M.B. H610I-IM-A MINI-ITX ,1
40141492,58,59,CAVO USB 2.0 L=22CM          PER M.B. H610I-IM-A MINI-ITX ,1
0P9919IY,4,3,BPC-2012/FANLESS IPC I5-1235U/4 LAN                       ,-1
0AC523SU,1,2,"PALMARE GMS V2S PLUS 6,22""   3GB/32GB STAMP 80M 1D/2D ANDR",1
14886890,20,19,MCP CORE I3-1115G4 8GB LP    DDR4X WIFI  NUC              ,-1
91061201,3,2,M.B. ECS H310CH5 MINI-ITX    LGA1151                      ,-1
91061711,36,44,M.B. ECS H610H7-TI5 MINI-ITX LGA1700                      ,8
40800387,9,10,"ALIM. 120W 12V C6 5,5MM*2,5MM                             ",1
0AC920FI,31,4,BASE DA TAVOLO DUAL HINGE    PP-97XXW E PP-97XX           ,-27
0TA911SL,11,6,TASTIERA COMPATTA ITA USB    COLORE NERO (ACK-595U)       ,-5
0SW818MI,741,623,LICENSE WIN.10 IOT FEC 2021 LTSC ENTRY EPKEA ESD          ,-118
0P9920KM,49,108,"WT CORE 7E 21,5"" TOT WHITE   PCAP EMI W/PSU 120W          ",59
0AC635LG,104,117,LOGITECH B100/M90 OPT.MOUSE  USB NERO                     ,13
61820004,4040,4028,DADO ESAG. 6/S 5588 8 ZN                                  ,-12
0SW806MI,7,15,LICENSE WIN.10 IOT 2019 LTSC ENTRY EPKEA ESD              ,8
54476274,20,19,SCATOLA CARTONE IMBALLO      WITOUCH CGM                  ,-1
54476264,86,241,SCATOLA CARTONE IMBALLO A CAPPUCCIO AMERICANA PER TOTEM   ,155
0AC508CL,69,67,"TOUCH CAPACITIVO 19"" PER WITOUCH CORE CL.                 ",-2
61920002,2090,2074,RONDELLE PIANE 6592 6 ZN                                  ,-16
91079162,9,30,SK GRAFICA PCI-E RTX 3050    SOLO 8GB                     ,21
0P9DZBFI,1,7,"PP-9732W 21,5""/T/CEL J6412   8GB                          ",6
0P99N1KM,1,0,"WITOUCH CORE-6E 21,5""/T/0MCP/4GB RAM TOTAL WHITE MCM      ",-1
0P9918IY,1,0,DPC2012 IPC DIN RAIL         I3-1215U/3 LAN               ,-1
0AC100MP,938,942,MAGNETE GOMMA DIAMETRO 22 MM                              ,4
RFI15310,4,3,TOUCH CONTROLLER PER         PP-9635CL RD9000PH17PZ       ,-1
0ST901FI,1,0,STAMPANTE TER. TP-100-BLACK  W/USB+COM+CAVO 24V           ,-1
0AC947FI,13,12,KIT EXTERNAL WIRELESS WIFI+BTPER XPOS PLUS ASXPOS954P     ,-1
0AC726FI,2,1,XELF DESKTOP SCO CON BASE    DA TAVOLO FP81/TP100/FM80    ,-1
0AC101IY,5,4,KIT WIRELESS LAN M.2 PER MRI (J6412)                      ,-1
0AC525SU,21,20,SUPPORTO A PISTOLA X PALMARE L2S PRO                      ,-1
0AC603MC,1,2,VESA MOUNTING BRACKET XELF   PP-9735X PORTRAIT/LANDSCAPE  ,1
0P9AC2GL,10,11,"TABLET RUGGED AT-2055 10,1""  IPS 128GB N4120 WIFI HAND    ",1
91061510,8,9,M.B. PRIME Q670M-C/CSM ASUS                               ,1
51702266,10,11,PANNELLO FRONT. EURO         GDT 7XX/9XX                  ,1
94902010,308,338,STANDBASE BLACK VESA(75/100) WITOUCH/PP/MRT & MON. TOUCH  ,30
14886900,41,40,MCP CORE I5-1135G7 8GB LP    DDR4X/WIFI NUC               ,-1
14886710,1,0,"MCP CORE I3-8100 3,60GHZ     LGA1151/6MB CACHE            ",-1
0P9EG2FI,145,144,"PP-9745W 15,6""/T/GALAXY GREY                              ",-1
40141463,194,266,"CAVO ALIM. C5 F A SPINA ITA. 1,8M                         ",72
0TA920KP,223,224,TASTIERA BASIC USA USB WHITE custom ESAOTE                ,1
0P9EQ3FI,66,63,"XP3765W PLUS 15,6""/IO1-24V   GALAXY GREY                  ",-3
17301720,6,4,"SODIMM DDR4 8GB PC4-2666MHZ  NOPARITY 1,2V 8BIT           ",-2
45503153,1,2,SSD M.2 250GB 2280 NVME                                   ,1
0AC48840,336,350,CAVO 2 X USB 3.0 19/20PIN PERGDT-XXXX - L. 30CM           ,14
0AC903LE,404,355,KIT CLEANING                                              ,-49
40800377,208,206,ALIMENTATORE 65W 100-240VAC  19VDC FSP065-Rxx FORTRON     ,-2
0ST900SB,7,0,STAMPANTE TER. TP-100-BLACK  W/USB+COM+LAN                ,-7
RKM12102,8,4,GUSCIO INTERNO DX HB-2009X   3BH20XEX102KME05R0           ,-4
45447829,1,0,"HDD 2,5"" TO 300GB/SAS 6GB/S  10K5rpm 64MB                 ",-1
66319005,10892,4066,VITE M3 X 6 BLACK ZINC PLATEDW/CROSS FLAT HEAD            ,-6826
45503161,9,10,SSD M.2 256GB 2280 SATA FEC                               ,1
17301761,23,22,SODIMM DDR4 16GB PC4-2666MHZ FEC                          ,-1
RCL35000,2,7,STAND BASE PT8000 BLACK                                   ,5
14886870,2,0,"MCP CELERON G5900E 3,20GHZ   LGA1200/2MB CACHE            ",-2
0AC10000,1,35,KIT TAPPI PER GDT-9610                                    ,34
0P9917IY,1,0,"PANEL PC 19"" T I5-10210U     1280*1024 IRC-5019SAC        ",-1
0AC80AAE,1,0,TOTEM GEN 1 COLORE NERO      RAL9005 IN LAMIERA VERNICIATA,-1
17301600,4,6,"SODIMM DDR4 4GB PC4-2400MHZ  noParity 1,2V                ",2
0AC50BIN,1,0,SISTEMA DI PAGAMENTO LANE5000TOUCH INGENICO               ,-1
RZH00120,10,5,"BOOSTER BOARD PER 9,7"" DISPLA                             ",-5
RFI19928,1,0,"15"" P-CAP TOUCH ASSEMBLY KIT PER XPOS BLACK - CVXPT00AE0G0",-1
RA9000XC4493A,4,5,CABLE INVERTER-TOUCH FOR     PP-9732                      ,1
RFI29917,59,52,POWER SUPPLY 130W 20V/6.5A   XPOS/PP - RD9000PH01DS       ,-7
0AC561FI,82,83,RFID USB HID 125 KHZ PP96XX/ PP16XX GALAXY GREY ASAIOP0970,1
0ST900FI,2,1,STAMPANTE TER. TP-100-BLACK  W/USB+COM+LAN                ,-1
91160450,9,10,SCHEDA ALIMENTAZIONE DC PER  MB H610I-IM-A                ,1
0PF3TX13,35,34,DEX 5750 I5-1145G7                                        ,-1
0AC530SU,7,6,SUPPORTO A PISTOLA X PALMARE L2KS                         ,-1
91061200,34,35,M.B. ECS H310CH5 MINI-ITX    LGA1151 WITOUCH CORE         ,1
40800395,149,171,ALIM. 120W 19V FSP120-ABBN3  9NA1208639                   ,22
51702277,275,274,PANN FRONT MCCO SPACE USB ON/OFF GDT 7XX/9XX              ,-1
45503120,10,12,"SSD 2,5"" 128GB/SATA3 FEC     MLC 6GB/S ADATA              ",2
